timestamp,value,is_anomaly
0,63.73215,0
1,63.35068,0
2,63.02261,0
3,62.77466,0
4,62.58392,0
5,62.33978,0
6,62.03079,0
7,61.93924,0
8,61.66458,0
9,61.32507,0
10,61.38611,0
11,61.18774,0
12,60.94742,0
13,60.81009,0
14,60.63461,0
15,60.53543,0
16,60.44006,0
17,60.21881,0
18,60.36758,0
19,60.17685,0
20,59.99374,0
21,59.91745,0
22,59.89075,0
23,59.79919,0
24,59.7229,0
25,59.76105,0
26,59.86786,0
27,59.68094,0
28,59.71146,0
29,59.53217,0
30,59.57794,0
31,59.55887,0
32,59.57413,0
33,59.56268,0
34,59.35287,0
35,59.35669,0
36,59.39484,0
37,59.34143,0
38,59.41391,0
39,59.36813,0
40,59.27277,0
41,59.29184,0
42,59.32999,0
43,59.1774,0
44,59.16977,0
45,59.11255,0
46,59.23843,0
47,58.96759,0
48,58.92181,0
49,59.03625,0
50,58.8913,0
51,58.68149,0
52,58.69293,0
53,58.64334,0
54,58.70819,0
55,58.52508,0
56,58.40683,0
57,58.33054,0
58,58.20084,0
59,58.25043,0
60,58.04062,0
61,58.15888,0
62,58.01773,0
63,57.89185,0
64,57.84226,0
65,57.76215,0
66,57.76596,0
67,57.621,0
68,57.31201,0
69,57.28912,0
70,57.07932,0
71,57.14417,0
72,56.99921,0
73,56.81229,0
74,56.65207,0
75,56.52237,0
76,56.46133,0
77,56.32019,0
78,56.23245,0
79,56.08749,0
80,55.96542,0
81,56.02646,0
82,55.90057,0
83,55.73273,0
84,55.82428,0
85,55.91202,0
86,56.25915,0
87,56.78558,0
88,57.21664,0
89,58.00247,0
90,58.77685,0
91,59.71909,0
92,60.65369,0
93,61.88583,0
94,63.10654,0
95,64.35013,0
96,65.54031,0
97,66.87546,0
98,67.9245,0
99,69.3016,0
100,70.53757,0
101,71.85364,0
102,73.15445,0
103,74.34082,0
104,75.51575,0
105,76.63727,0
106,77.63672,0
107,78.63998,0
108,79.54025,0
109,80.24597,0
110,81.10428,0
111,81.68411,0
112,82.3288,0
